elapsed_s,rss_kb
0,114512
60,122352
120,118432
180,118368
240,118368
300,81232
360,84544
420,80000
480,78368
540,81072
600,78352
660,78320
720,79488
780,70592
840,57712
900,57744
960,57712
1020,61696
1080,60448
1140,57744
1200,60400
1260,57424
1320,57424
1380,57424
1440,57424
1500,57392
1560,57392
1620,57376
1681,57392
1741,61136
1801,57392
1861,57392
1921,57392
1981,57392
2041,57344
2101,57344
2161,57344
2221,57344
2281,57344
2341,59840
2401,59104
2461,60464
2521,56752
2581,59488
2641,59488
2701,56736
2761,56736
2821,56736
2881,59040
2941,59040
3001,59040
3061,59040
3121,59040
3181,59040
3241,58976
3301,58976
3361,58976
3421,58976
3481,56672
3541,59584
3601,59584
